WeekDay,TotalSteps,TotalCaloriesBurnt,TotalLiteActiveKM,TotalModeratelyActiveKM,TotalVeryActiveKM,TotalLiteActiveHours,TotalModeratelyActiveHours,TotalVeryActiveHours,TotalSedentaryHours,MeanSteps,MeanCaloriesBurnt,MeanLiteKM,MeanModerateKM,MeanVeryActiveKM,MeanLiteHours,MeanModerateHours,MeanVeryActiveHours,MeanSedentaryHours
Tuesday  ,1205102,326730,527.59,90.14,245.22,499.92,36.34,58.17,2143.18,8993,2438,3.94,0.67,1.83,3.73,0.27,0.43,15.99
Thursday ,1081933,300574,479.44,73.61,203.82,451.74,29.06,47.39,2035.09,8322,2312,3.69,0.57,1.57,3.47,0.22,0.36,15.65
Sunday   ,835868,248309,349.94,74.78,180.16,350.79,29.27,40.27,1662.33,7811,2320,3.27,0.7,1.68,3.28,0.27,0.38,15.54
Wednesday,1129560,319916,488.31,79.06,244.65,474.49,32.75,51.89,2137.48,8367,2369,3.62,0.59,1.81,3.51,0.24,0.38,15.83
Friday   ,938391,280439,439.57,60.96,165.43,428.72,25.42,42.15,1932.65,7952,2376,3.73,0.52,1.4,3.63,0.22,0.36,16.38
Monday   ,925173,257529,403.53,70.3,184.48,384.1,28,46.22,1767.93,8566,2384,3.74,0.65,1.71,3.56,0.26,0.43,16.37
Saturday ,1005619,270121,448.52,83.99,187.81,428.05,31.38,44.73,1703.56,9059,2433,4.04,0.76,1.69,3.86,0.28,0.4,15.35
